町村名／種別,地上散布／規模（ha）,地上散布／事業費(千円),伐倒駆除／規模（m3）,伐倒駆除／事業費(千円),樹幹注入／規模（m3）,樹幹注入／事業費(千円)
大島町,2,285,-,-,103,1019
新島村,8,1130,-,-,160,6417
神津島村,2,282,-,-,160,6590
計,12,1697,-,-,423,14026
