月,航空旅客機／新中央航空（株）／降客（人）,航空旅客機／新中央航空（株）／乗客（人）,航空旅客機／新中央航空（株）／計（人）,航空旅客機／その他／降客（人）,航空旅客機／その他／乗客（人）,航空旅客機／その他／計（人）,航空旅客機／合計（人）,航空貨物取扱数量（ｋg）／卸,航空貨物取扱数量（ｋg）／積
4,1251,1269,2520,17,17,34,2554,1644,657
5,1278,1462,2740,11,11,22,2762,2387,506
6,1236,1323,2559,10,10,20,2579,1739,508
7,1248,1448,2696,36,37,73,2769,1866,718
8,1494,1698,3192,28,28,56,3248,1892,201
9,1205,1453,2658,11,11,22,2680,1431,417
10,1309,1629,2938,29,27,56,2994,1542,295
11,1140,1527,2667,14,13,27,2694,1572,278
12,1281,1559,2840,42,41,83,2923,1984,467
1,1174,1382,2556,16,16,32,2588,1592,198
2,1099,1294,2393,38,39,77,2470,1276,372
3,1191,1599,2790,32,32,64,2854,1635,746
計,14906,17643,32549,284,282,566,33115,20560,5363
