項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
市町村民税（千円）,448958,23009,134512,102856,5681965,359365541
市町村民税構成比（％）,47.1,51.9,40.8,45.9,41.1,49.3
市町村民税／個人分（千円）,386447,20615,126174,94611,4346924,303126752
市町村民税／個人分構成比（％）,40.5,46.5,38.3,42.3,31.4,41.6
市町村民税／法人分（千円）,62511,2394,8338,8245,1335041,56238789
市町村民税／法人分構成比（％）,6.6,5.4,2.5,3.7,9.6,7.7
固定資産税（千円）,390625,17188,154702,95659,6345942,284466022
固定資産税構成比（％）,41,38.8,47,42.7,45.8,39
軽自動車税（千円）,32176,1173,10828,6755,211828,3129115
軽自動車税構成比（％）,3.4,2.6,3.3,3,1.5,0.4
市町村たばこ税（千円）,77663,2948,28827,18654,848604,25218052
市町村たばこ税構成比（％）,8.1,6.7,8.8,8.3,6.1,3.5
特別土地保有税（千円）,0,0,0,0,0,23116
特別土地保有税構成比（％）,0,0,0,0,0,0
入湯税（千円）,3936,0,443,0,17381,43877
入湯税構成比（％）,0.4,0,0.1,0,0.1,0
その他（千円）,0,0,0,0,735644,56556657
その他構成比（％）,0,0,0,0,5.3,7.8
旧法による税（千円）,0,0,0,0,0,0
旧法による税構成比（％）,0,0,0,0,0,0
合計（千円）,953358,44318,329312,223924,13841364,728802380
合計構成比（％）,100,100,100,100,100,100
徴収率（％）,91.7,97.9,87.8,96.4,95.4,97.4
徴収率／現年課税分（％）,97.2,98,97.5,99.6,98.8,99.2
徴収率／滞納繰越分（％）,21.7,88.4,22.2,17.4,25.1,35.4
