地区別,2016年（人）,2015年（人）,2014年（人）,2013年（人）,2012年（人）,2011年（人）
大 島,458505,420082,378922,413099,368790,326561
利 島,13958,15390,14981,13877,12926,11094
新 島,65032,61278,57012,54303,65615,55278
式根島,49343,48214,47340,50502,65026,64778
神津島,62042,60184,57850,61609,58741,54117
計,648880,605148,556105,593390,571098,511828
