町村,総数,世帯主が働いている世帯／計,世帯主が働いている世帯／常用労働者,世帯主が働いている世帯／日雇労働者,世帯主が働いている世帯内職者,世帯主が働いている世帯その他,世帯員が働いている世帯,働いている者のいない世帯
総数,164,10,4,5,0,1,1,153
大島町,130,8,1,4,0,1,1,122
利島村,1,-,-,-,-,-,-,1
新島村,18,3,3,-,-,-,-,15
神津島村,16,1,-,1,-,-,-,15
