区分,大島町,利島村,新島村,神津島村
行政区域内人口（Ａ）（人）,7880,320,2724,1894
計画収集人口（Ｂ）（人）,7880,320,2724,1894
収集率Ｂ/Ａ（％）,100,100,100,100
回収収集回収／可燃物,週2回,週3回,週2回,週3回
回収収集回収／不燃物,月2回,月1回,月2回,週1回
年間収集量／可燃物（Ｃ）（トン）,2407,99,694,639
年間収集量／不燃物（Ｄ）（トン）,263,14,278,53
年間収集量／計（Ｅ）,2670,113,972,692
持込み（粗大含む）（トン）,782,-,861,538
計,3452,109,1833,1230
一日収集量(Ｅ/365)（Ｆ）(トン),7.3,0.3,2.7,1.9
一人一日収集量(F/B)（ｇ）,928,948,978,1034
年間処理内訳／焼却(トン),3050,98,986,1431
年間処理内訳／収集可燃ごみ焼却率(％),100,100,100,100
年間処理内訳／埋立(トン),203,3,558,367
年間処理内訳／島外搬出(トン),-,-,-,9
年間処理内訳／その他（資源化等）(トン),290,11,38,64
焼却残灰（トン）,426,17,77,119
