区分,大島町,利島村,新島村,神津島村,合 計
原動機付自転車（50cc以下）,592,23,319,622,1556
原動機付自転車（50cc以下）（うち、非課税車自動車）,7,0,8,12,27
自動二輪車（50cc超）,506,6,113,151,776
自動二輪車（50cc超）（うち、非課税車自動車）,4,0,4,0,8
小型特殊自動車,227,5,78,32,342
小型特殊自動車（うち、非課税車自動車）,8,1,9,4,22
軽自動車／貨物,2506,171,1050,616,4343
軽自動車／貨物（うち、非課税車自動車）,72,10,60,39,181
軽自動車／乗用,2962,73,907,499,4441
軽自動車／乗用（うち、非課税車自動車）,14,4,8,6,32
軽自動車／計,5468,244,1957,1115,8784
軽自動車／計（うち、非課税車自動車）,86,14,68,45,213
合計,6793,278,2467,1920,11458
合計（うち、非課税車自動車）,105,15,89,61,270
