町村,世帯数,人口／計,人口／男,人口／女,女100に対する男（％）,一世帯当たり人口,人口密度（1km2当たり）,対前年
大島町／元町,1430,2490,1250,1240,100.8,1.74,193,-41
大島町／北の山,779,1391,671,720,93.2,1.79,196,-23
大島町／岡田,443,834,404,430,94,1.88,107,-12
大島町／泉津,210,353,168,185,90.8,1.68,16,-6
大島町／野増,296,477,246,231,106.5,1.61,25,-9
大島町／差木地,1067,1684,917,767,119.6,1.58,82,-30
大島町／波浮港,464,651,380,271,140.2,1.4,362,-14
大島町／計,4689,7880,4036,3844,105,1.68,87,-135
利島村,174,321,175,146,119.9,1.84,78,6
新島村／本村,938,1905,924,981,94.2,2.03,103,-17
新島村／若郷,151,300,151,149,101.3,1.99,55,-3
新島村／式根島,279,519,251,268,93.7,1.86,133,-9
新島村／計,1368,2724,1326,1398,94.8,1.99,98,-29
神津島村,899,1894,967,927,104.3,2.11,100,16
合 計,7130,12819,6504,6315,103,1.8,90,-142
