水揚量,漁獲量（トン）／魚類,漁獲量（トン）／貝類,漁獲量（トン）／水産動物,漁獲量（トン）／藻類,漁獲量（トン）／小計,漁獲金額（千円）
大島町／伊豆大島（泉津・岡田）,10.9,0.1,2.4,42.3,55.7,53640
大島町／伊豆大島（野増・差木地・波浮港）,40.1,10.6,6.7,32.3,89.7,89400
大島町／元町,6.3,2.8,2.1,3.2,14.4,24941
大島町／小計,57.3,13.5,11.1,77.8,159.8,167981
利島村／利島村,1.2,9.2,8.6,11.8,30.8,46088
新島村／にいじま（若郷）,23.3,0,3.5,0.8,27.6,41934
新島村／にいじま（本村）,38.3,0.3,4.3,15.6,58.5,85773
新島村／にいじま（式根島）,35.1,0,10.5,6,51.7,80680
新島村／小計,96.7,0.3,18.3,22.4,137.7,208388
神津島村／神津島,780.6,0.1,37.3,23.6,841.6,1093739
合計,935.7,23.2,75.4,135.6,1169.8,1516195
