校名,課程,学科,生徒数,学級数,職員数,体育施設／プール,体育施設／体育館（m2）,施設面積（m2）／屋外運動場,施設面積／校舎（m2）,僻地指定,創立年度
大島,全日制,普通,107,6,,,,,,,
大島,全日制,併合,22,3,,,,,,,
大島,合計,,,,45,,,,,,
大島,定時制,普通,9,4,11,,,,,,
大島,合計,,,,,○,1810,22805,6266,2,1944
大島海洋国際,全日制,海洋国際,225,6,63,○,2658,14527,4430,2,2006
新島,全日制,普通,41,3,19,○,923,14586,1648,3,1971
神津,全日制,普通,31,3,19,○,988,5197,1735,3,1971
