地区別,2018年（人）,2017年（人）,2016年（人）,2015年（人）,2014年（人）,2013年（人）
大 島,480830,452800,458505,420082,378922,413099
利 島,10767,15023,13958,15390,14981,13877
新 島,67700,68317,65032,61278,57012,54303
式根島,52584,53433,49343,48214,47340,50502
神津島,69094,70255,62042,60184,57850,61609
計,680975,659828,648880,605148,556105,593390
