町村,2007年度（％）,2008年度（％）,2009年度,2010年度（％）,2011年度（％）,2012年度（％）,2013年度（％）,2014年度（％）,2015年度（％）,2016年度（％）
大島町,100,108.7,107.1,113.2,101.8,113.8,180.7,193.5,147.1,144.1
利島村,100,96.1,115.9,107.5,103.7,100.6,94.6,105.2,105.5,121.3
新島村,100,109.6,110.5,103.0,113.3,105.2,112.4,101.6,126.7,104.2
神津島村,100,94.4,110.5,110.6,110.4,96.2,100.2,97.7,104.0,114.2
都内町村平均,100,101.1,109.9,114.6,111.3,110.5,116.4,118.3,116.5,115.4
都内市町村平均,100,100.3,108.9,111.9,111.5,111.5,111.9,116.4,119.3,120.6
