就航状況（東京～各島間）,ジェットフォイル／就航予定便数,ジェットフォイル／就航便数,ジェットフォイル／欠航便数,ジェットフォイル／就航率（％）,在来船／就航予定便数,在来船／就航便数,在来船／欠航便数,在来船／就航率（％）
大島,2369,2264,105,95.6,542,536,6,98.9
利島,416,315,101,75.7,542,440,102,81.2
新島,558,518,40,92.8,542,472,70,87.1
式根島,565,524,41,92.7,542,473,69,87.3
神津島,468,439,29,93.8,542,506,36,93.4
横浜,－,－,－,－,100,98,2,98.0
