農業協同組合名,町村名,組合員の数／正組合員,組合員の数／准組合員,組合員の数／計,備考
東京島しょ農業協同組合,大島町,613,596,1209,店舗等なし
東京島しょ農業協同組合,利島村,59,16,75,利島店
東京島しょ農業協同組合,新島村,300,9,309,店舗等なし
東京島しょ農業協同組合,神津島村,12,212,224,店舗等なし
東京島しょ農業協同組合,管内計,984,833,1817,
新島村農業協同組合,新島村,87,155,242,平成27年11月26日設立認可
神津島農業協同組合,神津島村,45,352,397,平成27年12月2日設立認可
