区分,大島町,利島村,新島村,神津島村
行政区域内人口（人）,8015,315,2753,1878
下水道・集落排水事業加入世帯数,-,-,698,710
全世帯数,-,-,1361,884
汲取し尿及び浄化槽汚泥収集／年間収集量／汲取し尿（kl）,1153,-,105,411
汲取し尿及び浄化槽汚泥収集／年間収集量／浄化槽汚泥（kl）,8780,674,1401,259
汲取し尿及び浄化槽汚泥収集／年間収集量／計（kl）（Ａ）,9933,674,1506,670
汲取し尿及び浄化槽汚泥収集／一日収集量(A/365)(kl),27.2,1.8,4.1,1.8
汲取し尿及び浄化槽汚泥収集／年間処理内訳／施設（kl）（B）,9933,-,-,-
汲取し尿及び浄化槽汚泥収集／年間処理内訳／施設処理率(B/A)(%),100,,,100
汲取し尿及び浄化槽汚泥収集／年間処理内訳／埋立(kl),-,674,1506,670
汲取し尿及び浄化槽汚泥収集／年間処理内訳／農村還元(kl),-,-,-,-
汲取し尿及び浄化槽汚泥収集／年間処理内訳／その他(kl),-,-,-,-
