町村名,環境確保条例／工場,環境確保条例／作業場,大気汚染防止法／粉じん,大気汚染防止法／ばい煙,水質汚濁防止法,ダイオキシン類対策特別措置法
大島町,41,36,1,11,35,3
利島町,6,0,0,2,1,1
新島町,26,5,0,5,17,2
神津島村,11,5,0,2,23,1
計,84,46,1,20,76,7
