国籍別,大島町,利島村,新島村,神津島村,計
韓国・朝鮮,9,0,1,0,10
中国,3,0,4,1,8
米国,4,0,1,1,6
フィリピン,3,1,1,0,5
その他,53,0,3,1,57
計,72,1,10,3,86
