区分,羽数
オオコノハズク,4
コジュケイ,2
フクロウ,3
ハイタカ,2
ハヤブサ,2
メジロ,2
ノスリ,3
トビ,2
ツミ,1
マガモ,1
チョウゲンボウ,2
キンクロハジロ,1
オオバン,1
トラツグミ,1
ヒヨドリ,1
ウミネコ,1
アオバト,1
計,30
