年度,キジ,コジュケイ,ヤマシギ,キジバト,カラス,スズメ,ウズラ,その他鳥類,リス,その他獣類,計
2014,6,5,2,3,0,0,0,31,35,0,82
2015,10,4,27,36,0,0,0,18,65,0,160
2016,24,5,31,1,7,0,0,24,144,0,236
2017,7,1,26,10,0,0,0,68,63,0,175
2018,18,0,43,36,4,0,0,15,36,0,152
