区分,大島町,利島村,新島村,神津島村,管内計
乳用雌牛／成牛,20,0,0,0,20
乳用雌牛／育成牛,10,0,0,0,10
乳用雌牛／子牛,0,0,0,0,0
乳用雌牛／頭数計,30,0,0,0,30
乳用雌牛／戸数,1,0,0,0,1
肉用牛／頭数,0,0,0,0,0
肉用牛／戸数,0,0,0,0,0
馬／頭数,16,0,1,0,17
馬／戸数,3,0,1,0,4
山羊／頭数,1,0,0,0,1
山羊／戸数,1,0,0,0,1
採卵鶏／頭数,1154,0,192,0,1346
採卵鶏／戸数,7,0,1,0,8
