年度,大島町／歳出決算額（千円）,大島町／歳出決算額／対前年度増減比（％）（％）,利島村／歳出決算額（千円）,利島村／歳出決算額／対前年度増減比（％）,新島村／歳出決算額（千円）,新島村／歳出決算額／対前年度増減比（％）,神津島村／歳出決算額（千円）,神津島村／歳出決算額／対前年度増減比（％）,都内町村計／歳出決算額（千円）,都内町村計／歳出決算額/対前年度増減比（％）,都内市町村計／歳出決算額（千円）,都内市町村計／歳出決算額／対前年度増減比（％）
2007年度,7039537,15,1017536,-6.1,3550459,13.7,2641717,10.4,59948879,2.8,1313542819,2.7
2008年度,7654219,8.7,977982,-3.9,3892670,9.6,2494523,-5.6,60620572,1.1,1317801510,0.3
2009年度,7536958,-1.5,1178904,20.5,3922216,0.8,2917823,17,65909483,8.7,1430863385,8.6
2010年度,7969434,5.7,1094296,-7.2,3656567,-6.8,2920660,0.1,68701934,4.2,1470364581,2.8
2011年度,7165410,-10.1,1055350,-3.6,4022434,10,2915867,-0.2,66730414,-2.9,1465147905,-0.4
2012年度,8011095,11.8,1024034,-3,3734721,-7.2,2542128,-12.8,66222917,-0.8,1464870331,0
2013年度,12718550,58.8,962254,-6,3991108,6.9,2646571,4.1,69791515,5.4,1469265616,0.3
2014年度,13619786,7.1,1070295,11.2,3606993,-9.6,2581566,-2.5,70908056,1.6,1528697708,4
2015年度,10355578,-24,1073323,0.3,4497133,24.7,2747477,6.4,69811906,-1.5,1567662706,2.5
2016年度,10141633,-2.1,233921,15,3699094,-17.7,3016378,9.8,69203327,-0.9,1584526724,1.1
