区分,給与所得（千円）,構成比（％）,営業所得（千円）,構成比（％）,農業所得（千円）,構成比（％）,その他の所得（千円）,構成比（％）,分離課税（千円）,構成比（％）,合計（千円）,構成比（％）
大島町,8319056,85,346031,3.5,36509,0.4,901670,9.2,188113,1.9,9791379,100
利島村,494727,92.9,22478,4.2,0,0,15425,2.9,0,0,532630,100
新島村,2966927,86.9,212529,6.2,0,0,223993,6.6,9589,0.3,3413038,100
神津島村,2104787,80.5,398060,15.2,2179,0.1,94225,3.6,15921,0.6,2615172,100
合計,13885497,84.9,979098,6,38688,0.2,1235313,7.6,213623,1.3,16352219,100
