町村別,工事種別,2016年度,2017年度,2018年度
大島町,新築,3,2,5
大島町,増改築,0,4,0
大島町,その他,5,0,0
大島町,小計,8,6,5
利島村,新築,0,0,0
利島村,増改築,0,0,0
利島村,その他,0,0,0
利島村,小計,0,0,0
新島村,新築,7,16,6
新島村,増改築,0,3,0
新島村,その他,4,1,0
新島村,小計,11,20,6
神津島村,新築,3,6,7
神津島村,増改築,0,0,0
神津島村,その他,5,1,0
神津島村,小計,8,7,7
合計,,27,33,18
