項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
地方税（千円）,953358,44318,329312,223924,13841364,728802380
地方税構成比（％）,8.9,3.9,7,8,19.2,44.9
地方譲与税（千円）,61388,2214,17976,8556,355572,6889958
地方譲与税構成比（％）,0.6,0.2,0.4,0.3,0.5,0.4
利子割交付金（千円）,5724,319,1977,1330,66739,4539778
利子割交付金構成比（％）,0.1,0,0,0,0.1,0.3
配当割交付金（千円）,6831,379,2346,1615,79844,5449426
配当割交付金構成比（％）,0.1,0,0,0.1,0.1,0.3
株式等譲渡所得等交付金（千円）,6692,370,2288,1604,78362,5361728
株式等譲渡所得等交付金構成比（％）,0.1,0,0,0.1,0.1,0.3
地方消費税交付金（千円）,201375,8799,71607,46769,2145740,96570940
地方消費税交付金構成比（％）,1.9,0.8,1.5,1.7,3,5.9
ゴルフ場利用税交付金（千円）,871,0,0,0,871,410860
ゴルフ場利用税交付金構成比（％）,0,0,0,0,0,0
特別地方消費税交付金（千円）,0,0,0,0,0,0
特別地方消費税交付金構成比（％）,0,0,0,0,0,0
軽油引取税・自動車取得税交付金（千円）,26455,984,8020,3800,153542,3090556
軽油引取税・自動車取得税交付金構成比（％）,0.2,0.1,0.2,0.1,0.2,0.2
地方特例交付金（千円）,1502,3,383,302,43493,2768973
地方特例交付金構成比（％）,0,0,0,0,0.1,0.2
地方交付税（千円）,2120296,342181,1401072,902424,15002278,53217738
地方交付税構成比（％）,19.9,30,29.8,32.3,20.8,3.3
交通安全対策特別交付金（千円）,3083,0,1286,604,23571,528608
交通安全対策特別交付金構成比（％）,0,0,0,0,0,0
分担金・負担金（千円）,24841,0,0,873,251477,14281670
分担金・負担金構成比（％）,0.2,0,0,0,0.3,0.9
使用料（千円）,163106,17017,105208,34604,1191103,17384631
使用料構成比（％）,1.5,1.5,2.2,1.2,1.6,1.1
手数料（千円）,83582,161,12858,8451,528582,15347581
手数料構成比（％）,0.8,0,0.3,0.3,0.7,0.9
国庫支出金（千円）,1533301,46586,271922,127881,5702663,262915681
国庫支出金構成比（％）,14.4,4.1,5.8,4.6,7.9,16.2
国有提供施設等所在地町村助成交付金（千円）,0,0,14469,0,895951,3800821
国有提供施設等所在地町村助成交付金構成比（％）,0,0,0.3,0,1.2,0.2
都支出金（千円）,3401398,541034,1507042,1186466,20504746,215248746
都支出金構成比（％）,31.9,47.4,32.1,42.4,28.4,13.3
財産収入（千円）,18177,4279,31941,2738,407598,5942060
財産収入構成比（％）,0.2,0.4,0.7,0.1,0.6,0.4
寄付金（千円）,7996,320,350,798,86072,3110552
寄付金構成比（％）,0.1,0,0,0,0.1,0.2
繰入金（千円）,611501,8,212612,54807,2264896,34862398
繰入金構成比（％）,5.7,0,4.5,2,3.1,2.1
繰越金（千円）,156602,44792,174725,46560,2008049,46548386
繰越金構成比（％）,1.5,3.9,3.7,1.7,2.8,2.9
諸収入（千円）,227905,70481,67456,58924,2152602,18800233
諸収入構成比（％）,2.1,6.2,1.4,2.1,3,1.2
地方債（千円）,1047226,16911,466452,83986,4438118,78238914
地方債構成比（％）,9.8,1.5,9.9,3,6.1,4.8
合計（千円）,10663210,1141156,4701302,2797016,72223233,1624112618
合計構成比（％）,100,100,100,100,100,100
