月別,着陸回数／新中央航空（株）,着陸回数／東邦航空（株）,着陸回数／その他,着陸回数／減免,着陸回数／合計,使用料／着陸料／大型(19ｔ以上)（円）,使用料／着陸料／小型(19ｔ未満)（円）,使用料／着陸料／料計（円）,使用料／停留料／機数,使用料／停留料／金額（円）,合計（円）
4,110,65,34,13,222,,146064,146064,0,0,146064
5,82,55,42,10,189,,123734,123734,1,6480,130214
6,61,44,38,10,153,,105659,105659,0,0,105659
7,85,53,68,8,214,,158394,158394,1,810,159204
8,71,42,50,17,180,,156008,156008,1,810,156818
9,67,52,21,13,153,,134819,134819,1,810,135629
10,88,64,45,14,211,,209364,209364,2,2430,211794
11,80,63,49,8,200,,205060,205060,3,5670,210730
12,85,65,61,7,218,,230065,230065,0,0,230065
1,80,73,65,9,227,,228699,228699,2,5670,234369
2,59,65,53,5,182,,183986,183986,10,27540,211526
3,81,60,25,11,177,,170421,170421,2,3240,173661
計,949,701,551,125,2326,,2052273,2052273,23,53460,2105733
