町村,世帯数,人口／計,人口／男,人口／女,女100に対する男（％）,一世帯当たり人口,人口密度（1km2当たり）,対前年
東京都,7198348,13740732,6720970,6916378,97.2,1.91,6263,103384
区部,5157231,9486618,4622881,4773714,96.8,1.84,15116,90023
市部,2000093,4171067,2055543,2101194,97.8,2.09,5321,14330
町村部,41024,83047,42546,41470,102.6,2.02,106,-969
島部,14863,25706,13365,12683,105.4,1.73,63,-342
