町村,2008年度（％）,2009年度（％）,2010年度（％）,2011年度（％）,2012年度（％）,2013年度（％）,2014年度（％）,2015年度（％）,2016年度（％）,2017年度（％）
大島町,100.0,98.5,104.1,93.6,104.7,166.2,177.9,135.3,132.5,126.2
利島村,100.0,120.5,111.9,107.9,104.7,98.4,109.4,109.7,126.2,193.3
新島村,100.0,100.8,93.9,103.3,95.9,102.5,92.7,115.5,95.0,117.4
神津島村,100.0,117.0,117.1,116.9,101.9,106.1,103.5,110.1,120.9,117.7
都内町村平均,100.0,108.7,113.3,110.1,109.2,115.1,117.0,115.2,114.2,118.2
都内市町村平均,100.0,108.6,111.6,111.2,111.2,111.5,116.0,119.0,120.2,121.5
