町村別,大島町,利島村,新島村,式根島,神津島村
消防団数／団,1,1,1,1,1
消防団数／分団,8,2,8,3,3
団員数／条例定数,414,40,200,80,210
団員数／実員,281,38,135,56,189
団員１人あたりの人口,27.6,7.8,16.7,9.3,9.9
消防自動車、ポンプ1台あたり／面積（km2）,4.55,0.69,2.65,0.98,1.05
消防自動車、ポンプ1台あたり／人口,387,53,262,179,106
消防ポンプ自動車等現有数／普通消防ポンプ自動車,8,0,0,0,9
消防ポンプ自動車等現有数／水槽付消防ポンプ自動車,2,0,1,0,1
消防ポンプ自動車等現有数／小型動力ポンプ,10,6,8,3,8
消防ポンプ自動車等現有数／計,20,6,9,3,18
消防団出動回数2016.1.1～2016.12.31／火災／回数,3,0,0,0,0
消防団出動回数2016.1.1～2016.12.31／火災／延人員,135,0,0,0,0
消防団出動回数2016.1.1～2016.12.31／救助／回数,0,0,0,0,0
消防団出動回数2016.1.1～2016.12.31／救助／延人員,0,0,0,0,0
消防団出動回数2016.1.1～2016.12.31／風水害等災害／回数,0,0,0,0,0
消防団出動回数2016.1.1～2016.12.31／風水害等災害／延人員,0,0,0,0,0
消防団出動回数2016.1.1～2016.12.31／演習訓練／回数,11,2,4,5,19
消防団出動回数2016.1.1～2016.12.31／演習訓練／延人員,562,40,227,131,454
消防団出動回数2016.1.1～2016.12.31／広報・指導／回数,2,0,0,0,0
消防団出動回数2016.1.1～2016.12.31／広報・指導／延人員,273,0,0,0,0
消防団出動回数2016.1.1～2016.12.31／特別警戒／回数,0,25,169,107,91
消防団出動回数2016.1.1～2016.12.31／特別警戒／延人員,0,73,605,467,588
消防団出動回数2016.1.1～2016.12.31／警棒調査／回数,0,0,0,0,1
消防団出動回数2016.1.1～2016.12.31／警棒調査／延人員,0,0,0,0,62
消防団出動回数2016.1.1～2016.12.31／捜索／回数,3,0,0,0,1
消防団出動回数2016.1.1～2016.12.31／捜索／延人員,151,0,0,0,80
消防団出動回数2016.1.1～2016.12.31／その他／回数,0,3,13,13,0
消防団出動回数2016.1.1～2016.12.31／その他／延人員,0,57,140,56,0
消防団出動回数2016.1.1～2016.12.31／合計／回数,19,30,186,125,112
消防団出動回数2016.1.1～2016.12.31／合計／延人員,1121,170,972,654,1184
