区分,1月（％）,2月（％）,3月（％）,4月（％）,5月（％）,6月（％）,7月（％）,8月（％）,9月（％）,10月（％）,11月（％）,12月（％）,2017年来島数（人）
大島,6.4,10.8,14.8,6,7.6,6.6,8.8,12.4,7.1,5.9,6.7,6.7,243986
利島,5.5,5.3,6.4,7,12.7,7.1,13,15.4,8.7,5.2,7.6,6.2,8769
新島,4.3,4.2,5.8,6.3,11.4,6.7,13.1,22.5,9,5.1,6.4,5.1,50547
式根島,1.7,1.8,3.4,3.5,8.3,4.6,19.9,36.2,11.3,2.9,3.9,2.6,26301
神津島,3.9,3.7,5.4,4.7,10.2,5.3,15.1,27.5,9.8,4.6,5.2,4.5,47454
