品目,単位,大島町,利島村,新島村,神津島村,計,平均単価（円）,生産金額（千円）
木炭,kg,8400,105,-,-,8505,320,2722
椿油,リットル,9989,18200,-,-,28189,4200,118393
町村別生産額,千円,44641,76474,-,-,-,-,121115
