区分,年齢,大島町,利島村,新島村,神津島村,計
年少人口,0～4,269,19,94,86,468
年少人口,5～9,296,20,85,86,487
年少人口,10～14,290,15,127,94,526
生産年齢人口,15～19,465,5,89,86,645
生産年齢人口,20～24,182,7,54,40,283
生産年齢人口,25～29,267,17,89,70,443
生産年齢人口,30～34,355,17,124,115,611
生産年齢人口,35～39,389,36,159,101,685
生産年齢人口,40～44,500,27,167,122,816
生産年齢人口,45～49,505,13,140,107,765
生産年齢人口,50～54,508,17,151,87,763
生産年齢人口,55～59,470,25,167,153,815
生産年齢人口,60～64,603,19,236,183,1041
老年人口,65～69,819,25,272,177,1293
老年人口,70～74,643,13,217,97,970
老年人口,75～79,521,12,164,88,785
老年人口,80～84,439,10,176,97,722
老年人口,85～89,292,12,149,62,515
老年人口,90～94,155,4,76,27,262
老年人口,95歳以上,47,2,17,0,66
合計,合計,8015,315,2753,1878,12961
