島名,位置／北緯,位置／東経,東京都庁からのおよその距離(km),島面積(km2)
大島,34°45′,139°21′,109,90.73
利島,34°31′,139°17′,134,4.12
新島,34°22′,139°15′,151,22.97
式根島,34°19′,139°13′,157,3.67
神津島,34°12′,139°08′,172,18.24
三宅島,34°04′,139°28′,180,55.2
御蔵島,33°53′,139°35′,199,20.51
八丈島,33°06′,139°47′,287,69.11
青ヶ島,32°27′,139°45′,358,5.96
