町村,2008年度（％）,2009年度（％）,2010年度（％）,2011年度（％）,2012年度（％）,2013年度（％）,2014年度（％）,2015年度（％）,2016年度（％）,2017年度（％）
大島町,88.4,87.1,85.8,84.5,87.3,84.9,91.9,84,88.1,89
利島村,86.5,89.1,84.8,78,88.4,87.7,75.2,73.5,78.8,78.7
新島村,78.6,74.2,72.9,82.1,84.6,82.4,83.9,79.5,79.8,88.2
神津島村,71.5,76.3,74.8,79.2,80.9,79.6,82.1,79.1,80,82.7
都内町村平均,86.5,86.2,82.5,87.3,87.1,87.5,89.6,86.6,88.3,89.1
都内市町村平均,91.7,91.2,90.8,90.8,91.6,90.9,90.7,88.1,91.1,90.8
