学校名,卒業者数,男,女,進学者数/管内都立(男),進学者数/管内都立(女),進学者数/管外都立(男),進学者数/管外都立(女),進学者数/私立(男),進学者数/私立(女),就職者数/島内(男),就職者数/島内(女),就職者数/島外(男),就職者数/島外(女),進学就職者数/島内(男),進学就職者数/島内(女),進学就職者数/島外(男),進学就職者数/島外(女),その他（県立等）(男),その他（県立等）(女)
第一中,23,8,15,6,8,0,5,2,2,0,0,0,0,0,0,0,0,0,0
第二中,32,11,21,10,18,1,1,0,2,0,0,0,0,0,0,0,0,0,0
第三中,9,8,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
大島計,64,27,37,23,27,2,6,2,4,0,0,0,0,0,0,0,0,0,0
利島中,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新島中,22,8,14,5,9,2,3,0,2,0,0,0,0,0,0,0,0,1,0
式根中,3,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
新島計,25,9,16,6,9,2,4,0,3,0,0,0,0,0,0,0,0,1,0
神津中,18,8,10,5,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0
合計,107,44,63,34,44,6,11,3,8,0,0,0,0,0,0,0,0,1,0
