区分,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年
出生,108,115,103,107,101,92,97,105,92,117,71,83
死亡,206,186,178,186,196,208,225,224,245,222,195,207
婚姻,51,54,67,48,50,53,64,61,61,57,51,54
離婚,26,31,21,16,26,22,24,27,24,24,25,19
