町村名,農地法第4条／件数（件）,農地法第4条／面積（m2）,農地法第5条／件数（件）,農地法第5条／面積（m2）
大島町,1,934,4,3187
利島村,0,0,0,0
新島村,1,459,1,703
神津島村,0,0,4,1392
合計,2,1393,9,5282
