行為種別,2014年度,2015年度,2016年度
工作物の新改増築／一般住宅,2,0,1
工作物の新改増築／宿泊施設,0,0,1
工作物の新改増築／店舗,0,0,0
工作物の新改増築／その他建築物,65,40,59
工作物の新改増築／道路・電柱等工作物,32,33,15
木竹の伐採,8,2,3
土石の採取,21,9,6
植物の採取,0,9,2
土地の形状変更,1,3,1
その他,15,1,6
届出,4,4,12
合計,148,101,106
(再掲)許可権者／環境大臣,10,3,7
(再掲)許可権者／地方事務所長,46,23,24
(再掲)許可権者／都知事,44,49,32
(再掲)許可権者／支庁長,48,26,43
