月,航空旅客機／新中央航空（株）／降客（人）,航空旅客機／新中央航空（株）／乗客（人）,航空旅客機／新中央航空（株）／計（人）,航空旅客機／その他／降客（人）,航空旅客機／その他／乗客（人）,航空旅客機／その他／計（人）,航空旅客機／合計（人）,航空貨物取扱数量／卸（ｋｇ）,航空貨物取扱数量／積（ｋｇ）
4,740,752,1492,10,14,24,1516,9,166
5,719,934,1653,2,4,6,1659,25,221
6,565,677,1242,7,11,18,1260,4,55
7,823,854,1677,36,36,72,1749,10,106
8,1182,1353,2535,18,18,36,2571,26,77
9,766,951,1717,9,17,26,1743,41,109
10,882,1085,1967,6,8,14,1981,9,160
11,817,1000,1817,10,14,24,1841,22,125
12,846,987,1833,10,12,22,1855,36,104
1,867,1052,1919,10,16,26,1945,144,122
2,751,965,1716,4,12,16,1732,161,86
3,892,1211,2103,12,16,28,2131,21,226
計,9850,11821,21671,134,178,312,21983,508,1557
