区分,2013年度月平均,2014年度月平均,2015年度月平均,2016年度月平均,2017年度月平均
世帯員が働いている世帯（単位：世帯）,151,144,142,143,153
世帯員が働いている世帯割合（％）,90.4,87.3,86.1,87.7,93.3
世帯主が働いている世帯（単位：世帯）,15,18,21,19,10
世帯主が働いている世帯割合（％）,9,10.9,12.7,11.7,6.1
働いている者のいない世帯（単位：世帯）,1,3,2,1,1
働いている者のいない世帯割合（％）,0.6,1.8,1.2,0.6,0.6
