産業分類,全国総数（人）／1995,全国総数（人）／2000,全国総数（人）／2005,全国総数（人）／2010,全国総数（人）／2015,東京都総数（人）／平1995,東京都総数（人）／2000,東京都総数（人）／2005,東京都総数（人）／2010,東京都総数（人）／2015,大島支庁管内総数（人）／1995,大島支庁管内総数（人）／2000,大島支庁管内総数（人）／2005,大島支庁管内総数（人）／2010,大島支庁管内総数（人）／2015,大島町（人）／1995,大島町（人）／2000,大島町（人）／2005,大島町（人）／2010,大島町（人）／2015,利島村（人）／平1995,利島村（人）／2000,利島村（人）／2005,利島村（人）／2010,利島村（人）／2015,新島村（人）／平1995,新島村（人）／2000,新島村（人）／2005,新島村（人）／2010,新島村（人）／2015,神津島（人）／1995,神津島（人）／2000,神津島（人）／2005,神津島（人）／2010,神津島（人）／2015
農業,3426497,2890568,2703360,2135977,2004289,29259,26758,24810,21146,21526,526,383,363,290,243,385,258,228,188,156,32,24,43,36,38,37,18,30,22,19,72,83,62,44,30
林業・狩猟業,85824,64061,46618,68553,63663,682,516,294,572,502,10,3,1,4,5,10,3,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
漁業・水産養殖業,307528,253419,215813,176885,153747,1384,1022,785,682,662,432,409,364,309,270,153,147,127,103,84,9,8,4,7,4,104,111,83,78,50,166,143,150,121,132
第一次計,3819849,3208048,2965791,2381415,2221699,31325,28296,25889,22400,22690,968,795,728,603,518,548,408,356,295,244,41,32,47,43,42,141,129,113,100,70,238,226,212,165,162
鉱業,60597,46423,26921,22152,22281,2237,1738,1130,1202,1515,23,11,0,1,1,5,4,0,1,0,0,0,0,0,0,18,7,0,0,1,0,0,0,0,0
建設業,6630578,6345737,5391905,4474946,4341338,548476,483641,401116,322941,307352,1289,1156,1066,975,1029,673,637,571,544,582,61,39,41,61,40,308,297,305,228,259,247,183,149,142,148
製造業,13556253,11999441,10646362,9626184,9557215,1064124,839844,706718,587973,589513,297,215,190,193,192,153,107,106,119,112,2,2,0,3,3,126,92,73,54,54,16,14,11,17,23
第二次計,20247428,18391601,16065188,14123282,13920834,1614837,1325223,1108964,912116,898380,1609,1382,1256,1169,1222,831,748,677,664,694,63,41,41,64,43,452,396,378,282,314,263,197,160,159,171
卸売業・小売業,14618405,11699670,11018413,9804290,9001414,1644532,1197652,1065043,912689,817975,1437,1337,1053,905,817,947,907,668,567,505,15,14,6,16,6,297,238,217,185,167,178,178,162,137,139
金融・保険業,1974508,1751109,1537830,1512975,1428710,271413,238785,216318,219825,219054,112,114,90,84,78,84,84,64,62,57,0,0,0,0,0,17,17,15,14,10,11,13,11,8,11
不動産業,707149,809076,859635,1113768,1197560,153076,167064,179104,204463,211311,11,7,9,27,32,10,7,8,25,27,0,0,0,0,1,1,0,0,2,4,0,0,1,0,0
運輸・通信業,3890110,4758596,4757192,3219050,4724946,389038,673976,684274,279021,702780,480,413,268,301,276,355,260,153,177,156,8,11,12,11,15,71,101,67,69,67,46,41,36,44,38
電気・ガス・水道熱供給業,364183,338085,279799,284473,283193,25864,24061,18863,197072,18870,77,75,75,63,47,31,29,29,25,20,7,4,6,8,3,23,26,27,19,14,16,16,13,11,10
サービス業,15932490,19172038,20777976,21695633,20952756,1890521,2177444,2248379,3334562,2086476,2792,2643,3163,3183,3180,1876,1720,1949,1991,1925,62,76,89,80,105,546,519,662,654,712,308,328,463,458,438
公務,2155214,2142790,2098148,2016128,2025988,172690,168130,164012,163684,169644,592,537,612,566,601,334,306,392,333,353,26,28,19,22,24,136,113,120,117,126,96,90,81,94,98
第三次計,39642059,40671364,41328993,39646317,39614567,4547134,4647112,4575993,5311316,4226110,5501,5126,5270,5129,5031,3637,3313,3263,3180,3043,118,133,132,137,154,1091,1014,1108,1060,1100,655,666,767,752,734
分類不能の産業,432208,761258,1146001,3460298,3161936,116402,179838,204687,821697,711779,13,7,35,27,49,0,5,6,5,8,0,1,0,2,0,7,1,25,16,11,6,0,4,4,30
合計,64141544,63032271,61505973,59611312,58919036,6309698,6180469,5915533,7067529,5858959,8091,7310,7289,6928,6820,5016,4474,4302,4144,3989,222,207,220,246,239,1691,1540,1624,1458,1495,1162,1089,1143,1080,1097
