月別,着陸回数／新中央航空（株）,着陸回数／東邦航空（株）,着陸回数／その他,着陸回数／減免,着陸回数／合計,使用料／着陸料／大型(19ｔ以上)（円）,使用料／着陸料／小型(19ｔ未満)（円）,使用料／着陸料／料計（円）,使用料／停留料／機数,使用料／停留料／金額（円）,合計（円）
4,118,54,55,9,236,,172319,172319,5,4050,176369
5,101,48,60,11,220,,143454,143454,2,1620,145074
6,88,47,61,10,206,,152561,152561,0,0,152561
7,116,57,72,7,252,,188217,188217,35,28350,216567
8,110,56,34,16,216,,132487,132487,4,5760,138247
9,83,55,37,12,187,,114395,114395,1,810,115205
10,79,55,75,7,216,,154299,154299,0,0,154299
11,92,59,53,7,211,,146005,146005,0,0,146005
12,106,67,66,19,258,,174904,174904,1,810,175714
1,103,62,50,14,229,,153421,153421,4,3240,156661
2,83,56,37,6,182,,117814,117814,0,0,117814
3,93,58,53,7,211,,137263,137263,5,4050,141313
計,1172,674,653,125,2624,,1787139,1787139,57,48690,1835829
