区分,1980年,1985年,1989年,1993年,1998年,2003年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,,,
大島,478,493,441,380,310,242,246,223,191,186,174,165,182,187,205,189,194,182,180,,,
新島,113,165,177,132,108,89,73,75,68,56,50,57,58,66,57,63,66,84,76,,,0
神津島,78,97,116,133,99,73,73,70,65,54,47,54,63,57,56,53,55,57,57,,,
利島,6,10,15,14,7,7,9,9,5,6,4,5,5,5,5,6,3,3,4,,,
