町村名,対象,人員／児童・生徒,人員／教職員,人員／その他,人員／合計
大島町,小学校3校,322,59,－,381
大島町,中学校3校,179,57,－,236
大島町,大島町立学校給食センター,－,－,28,28
利島村,小学校1校,25,10,1,36
利島村,中学校1校,4,13,－,17
新島村,小学校2校,106,32,－,138
新島村,中学校2校,75,34,1,110
新島村,本村・式根島学校給食共同調理所（新島）,－,－,3,－
新島村,本村・式根島学校給食共同調理所（式根島）,－,－,3,－
新島村,本村・式根島学校給食共同調理所（合計）,－,－,－,6
神津島村,小学校1校,104,16,－,120
神津島村,中学校1校,57,19,－,78
神津島村,神津島村立学校給食共同調理場,－,－,10,10
合計,小学校,557,117,－,674
合計,中学校,315,123,1,439
合計,給食センター等,－,－,43,43
合計,計,872,240,44,1156
