区分,計,大島町,利島村,新島村,神津島村
対象年齢児童数／（1～5歳）（A）,558,373,24,99,62
保育所定員（B）,535,290,25,130,90
保育所数,9,5,1,2,1
保育所入所児童数（C）,399,251,16,70,62
定員充足率（C／B％）,74.6,86.6,64,53.8,68.9
入所率（C／A％）,71.5,67.3,66.7,70.7,100
定員率（B／A％）,95.9,77.7,104.2,131.3,145.2
