区分,第１次（％）,第２次（％）,第３次（％）,分類不能（％）
1995,20.5,22.6,56.4,0.5
2000,20.8,18.1,61.2,-
2005,18.5,14,67.1,0.3
2010,15.3,14.7,69.6,0.4
2015,14.8,15.6,66.9,2.7
管内平均（２０１５）,7.6,17.9,73.8,0.7
全都平均（２０１５）,0.4,15.3,72.1,12.1
全国平均（２０１５）,3.8,23.6,67.2,5.4
