頭／年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年
大島,119,112,64,52,13,6,6,6,10,10,,,,,,,,,,,
新島,0,0,10,19,39,13,14,17,23,44,56,52,48,49,29,24,9,0,0,0,0
