事業名,町村名,地区名,事業内容,事業実施主体,総事業費（円）,都補助金（円）
公共土地改良事業／基盤整備促進事業,大島町,岡田平浜,農道改修,大島町,19899000,14924000
公共土地改良事業／基盤整備促進事業,新島村,久田巻,暗渠排水,新島村,13251000,9938000
公共土地改良事業／基盤整備促進事業,神津島村,焼山,農道測量設計,神津島村,4492800,3000000
公共土地改良事業／基盤整備促進事業,小計,,,,37642800,27862000
公共土地改良事業／小規模土地改良事業,大島町,野地,農道,大島町,19783400,9891000
公共土地改良事業／小規模土地改良事業,大島町,大島南部,農業用排水施設,大島町,5124600,2562000
公共土地改良事業／小規模土地改良事業,小計,,,,24908000,12453000
公共土地改良事業／地域農水利施設ストックマネジメント,大島町,大滝,機能保全計画,大島町,6102000,4576000
農地防災事業／水質保全対策事業,大島町,滝川,攪拌機設置,大島町,17200000,12900000
合計,,,,,85852800,57791000
