種別地区別,水源かん養（ha）,土砂流出防備（ha）,土砂崩壊防備（ha）,飛砂防備（ha）,防風（ha）,潮害防備（ha）,潮害防備（ha）外数（兼種）,干害防備（ha）,落石防止（ha）,防火（ha）,魚つき（ha）,計（ha）,計（ha）外数（兼種）
大島町／国有林,-,-,-,-,-,-,-,-,-,-,-,-,-
大島町／民有林,-,441,1,15,38,-,-,15,-,3,-,513,-
大島町／小計,-,441,1,15,38,-,-,15,-,3,-,513,-
利島村／民有林,-,7,-,-,-,-,-,-,-,-,-,7,-
利島村／小計,-,7,-,-,-,-,-,-,-,-,-,7,-
新島村／民有林,-,102,37,3,23,8,-,-,31,-,25,229,-
新島村／小計,-,102,37,3,23,8,-,-,31,-,25,229,-
神津島村／民有林,-,247,15,-,2,0,3,46,0,-,-,310,3
神津島村／小計,-,247,15,-,2,0,3,46,0,-,-,310,3
計／国有林,-,-,-,-,-,-,-,-,-,-,-,-,-
計／民有林,-,797,53,18,63,8,3,61,31,3,25,1059,3
合計,-,797,53,18,63,8,3,61,31,3,25,1059,3
