町村,世帯数,人口／計,人口／男,人口／女,女100に対する男（％）,一世帯当たり人口,人口密度（1km2当たり）,対前年
東京都,6994147,13530053,6675004,6855049,97.4,1.93,6175,114704
区部,4997068,9302962,4581965,4720997,97.1,1.86,14844,97250
市部,1956050,4142500,2050226,2092274,98,2.12,5282,18266
町村部,41029,84591,42813,41778,102.5,2.06,108,-812
島部,15016,26307,13488,12819,105.2,1.75,65,-450
