区分,総数,大島町,利島村,新島村,神津島村
犬の捕獲収容,1,1,-,-,-
引き取り／犬,-,-,-,-,-
引き取り／猫,6,1,-,1,4
負傷動物収容,2,-,-,-,2
野犬駆除,-,-,-,-,-
収容動物返還,1,1,-,-,-
特定動物／許可,1,1,-,-,-
特定動物／廃止,-,-,-,-,-
咬傷事故,2,1,-,-,1
苦情及び相談等,63,29,-,9,25
