町村名／種別,地上散布／規模（ha）,地上散布／事業費(千円),伐倒駆除／規模（m3）,伐倒駆除／事業費(千円),樹幹注入／規模（m3）,樹幹注入／事業費(千円)
大島町,2,289,-,-,125,3750
新島村,8,1179,-,-,160,6469
神津島村,2,349,-,-,160,6813
計,12,1817,-,-,445,17032
