水揚量,漁獲量（トン）／魚類,漁獲量（トン）／貝類,漁獲量（トン）／水産動物,漁獲量（トン）／藻類,漁獲量（トン）／小計,漁獲金額（千円）
大島町／伊豆大島（泉津・岡田）,21.6,0,3.5,11.5,36.6,52233
大島町／伊豆大島（野増・差木地・波浮港）,75,21.3,7.1,25.4,128.9,137733
大島町／元町,9.3,2.8,2.9,7.6,22.6,36556
大島町／小計,105.9,24.1,13.6,44.5,188.1,226522
利島村／利島村,2.6,9.7,8.3,28.8,49.3,59852
新島村／にいじま（若郷）,31,0,0.6,11.3,42.9,52744
新島村／にいじま（本村）,51.8,0.1,6.4,29.4,87.8,99237
新島村／にいじま（式根島）,37.5,0,8.1,15.2,60.8,88999
新島村／小計,120.3,0.2,15.2,55.9,191.5,240980
神津島村／神津島,723.2,0,33.1,57.4,813.7,1134389
合計,952,34,70.1,186.6,1242.6,1661743
