区分,1935年,1940年,1947年,1950年,1955年,1960年,1965年,1970年,1975年,1980年,1985年,1990年,1995年,2000年,2005年,2010年,2015年
管内町村合計（人）,17244,17005,19471,20940,20382,19549,18081,16875,17149,16906,16608,16148,15449,14817,14239,13574,12861
大島町（人）,10350,10045,11627,12838,12434,12090,11540,10889,11097,10734,10377,10014,9693,9224,8702,8461,7884
新島村（人）,4394,4460,5012,5149,4827,4438,3913,3654,3685,3684,3653,3505,3163,3147,3161,2883,2749
神津島村（人）,2179,2179,2423,2567,2765,2667,2328,2081,2093,2210,2281,2314,2276,2144,2068,1889,1891
利島村（人）,321,321,409,386,356,354,300,251,274,278,297,315,317,302,308,341,337
