区分,1月（％）,2月（％）,3月（％）,4月（％）,5月（％）,6月（％）,7月（％）,8月（％）,9月（％）,10月（％）,11月（％）,12月（％）,2016年来島数（人）
大島,6,10.1,12.3,6,7.3,6,8.9,12.2,7.9,7.9,7.3,7.1,229668
利島,6.2,5.6,7.1,5.9,10,8.6,12.9,12.6,9,9.3,6.6,6.2,8043
新島,4.8,4.8,5.6,6.9,10.7,7,13.1,19.4,9.9,6.9,5.3,5.6,48953
式根島,1.4,1.8,3,4.1,7.2,4.7,19.8,31.7,15.3,5.2,3.5,2.3,24385
神津島,3.9,3.3,5.6,5.6,8.1,5.1,15.4,25.8,11.1,6.3,5.1,4.6,41584
