震度,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
震度1,1,0,0,0,1,0,0,0,1,0,0,0,3
震度2,2,0,0,0,0,0,1,0,0,0,0,0,3
月別合計  ,3,0,0,0,1,0,1,0,1,0,0,0,6
