区分,業種,総数,大島町,利島村,新島村,神津島村,監視件数
食品衛生法に基づく許可を要する業種,計,943,450,39,291,163,2172
食品衛生法に基づく許可を要する業種,飲食店営業／計,566,282,15,159,110,1099
食品衛生法に基づく許可を要する業種,飲食店営業／旅館・ホテル,235,76,9,84,66,520
食品衛生法に基づく許可を要する業種,飲食店営業／バー・キャバレー,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,飲食店営業／一般飲食店,219,136,3,48,32,335
食品衛生法に基づく許可を要する業種,飲食店営業／民生食堂,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,飲食店営業／すし屋,12,7,-,2,3,28
食品衛生法に基づく許可を要する業種,飲食店営業／そば屋,7,4,1,1,1,12
食品衛生法に基づく許可を要する業種,飲食店営業／仕出し屋,1,1,-,-,-,-
食品衛生法に基づく許可を要する業種,飲食店営業／弁当屋,32,19,1,6,6,59
食品衛生法に基づく許可を要する業種,飲食店営業／そう菜店,31,15,-,16,-,121
食品衛生法に基づく許可を要する業種,飲食店営業／コンビニエンスストア等,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,飲食店営業／移動,2,2,-,-,-,-
食品衛生法に基づく許可を要する業種,飲食店営業／臨時,10,10,-,-,-,-
食品衛生法に基づく許可を要する業種,飲食店営業／許可ある集団給食,13,8,1,2,2,21
食品衛生法に基づく許可を要する業種,飲食店営業／自動車,4,4,-,-,-,3
食品衛生法に基づく許可を要する業種,飲食店営業／自動販売機,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,飲食店営業／天ぷら船,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,飲食店営業／屋形船,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,喫茶店営業／計,12,4,1,4,3,22
食品衛生法に基づく許可を要する業種,喫茶店営業／店舗,9,1,1,4,3,20
食品衛生法に基づく許可を要する業種,喫茶店営業／自動販売機,1,1,-,-,-,2
食品衛生法に基づく許可を要する業種,喫茶店営業／自動車,2,2,-,-,-,-
食品衛生法に基づく許可を要する業種,菓子製造業,85,39,3,29,14,166
食品衛生法に基づく許可を要する業種,パン製造業／計,20,6,2,6,6,53
食品衛生法に基づく許可を要する業種,パン製造業／生菓子製造業,26,9,-,11,6,66
食品衛生法に基づく許可を要する業種,パン製造業／その他菓子製造業,35,20,1,12,2,46
食品衛生法に基づく許可を要する業種,パン製造業／移動,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,パン製造業／臨時,3,3,-,-,-,1
食品衛生法に基づく許可を要する業種,パン製造業／自動車,1,1,-,-,-,-
食品衛生法に基づく許可を要する業種,あん類製造業,1,-,-,1,-,3
食品衛生法に基づく許可を要する業種,アイスクリーム類製造業,7,5,-,2,-,18
食品衛生法に基づく許可を要する業種,乳処理業,1,1,-,-,-,10
食品衛生法に基づく許可を要する業種,特別牛乳さく取処理業,-,-,-,-,-,0
食品衛生法に基づく許可を要する業種,乳製品製造業,1,1,-,-,-,10
食品衛生法に基づく許可を要する業種,集乳業,-,-,-,-,-,-
