区分,大島町,利島村,新島村,神津島村,計
転入／男,298,25,75,73,471
転入／女,182,22,71,49,324
転入／計,480,47,146,122,795
転出／男,306,23,63,68,460
転出／女,222,21,65,50,358
転出／計,528,44,128,118,818
出生／男,19,1,4,6,30
出生／女,15,2,11,2,30
出生／計,34,3,15,8,60
死亡／男,75,3,17,10,105
死亡／女,74,1,19,8,102
死亡／計,149,4,36,18,207
乳児死亡（再掲）,0,-,-,-,0
死産／自然,-,-,-,-,-
死産／人工,0,-,-,-,0
死産／計,-,-,-,-,0
婚 姻,28,3,9,8,48
離 婚,4,0,2,3,9
