地区別／事業別,道路橋梁事業／面積（m2）,道路橋梁事業／金額（千円）,交通安全事業／面積（m2）,交通安全事業／金額（千円）,砂防事業／面積（m2）,砂防事業／金額（千円）,計／面積（m2）,計／金額（千円）
大島町,1232.6,26389,410.89,3041,19008.67,120923,20652.16,150353
利島村,-,-,-,-,-,-,-,-
新島村,-,-,82.85,355,-,-,82.85,355
神津島村,-,-,368.24,3822,655.98,2073,1024.22,5895
計,1232.6,26389,861.98,7218,19664.65,122996,21759.23,156603
