区分,大島町,利島村,新島村,神津島村,計
転入／男,325,17,63,44,449
転入／女,190,23,57,43,313
転入／計,515,40,120,42,717
転出／男,357,20,78,58,513
転出／女,234,18,87,62,401
転出／計,591,38,165,120,914
出生／男,21,2,11,3,37
出生／女,23,-,9,8,40
出生／計,44,2,20,11,77
死亡／男,60,1,25,26,112
死亡／女,71,2,16,7,96
死亡／計,131,3,41,33,208
乳児死亡（再掲）,-,-,-,-,-
死産／自然,-,-,-,-,-
死産／人工,1,-,-,-,1
死産／計,1,-,-,-,1
婚 姻,16,2,8,9,35
離 婚,18,-,5,6,29
