区分,総数,大島町,利島村,新島村,神津島村
総数,1946,1906,36,4,0
赤痢･チフス･パラチフス及びその他のサルモネラ,1083,1063,18,2,0
病原性大腸菌Ｏ－157,863,843,18,2,0
