種別,名称,所在地,指定年月日
無形民俗文化財,野増大宮神社の十二座神楽,大島町野増字大宮,1996/11/1
有形文化財（建造物）,宝篋印塔と五輪塔,新島村本村,1987/9/25
有形文化財（建造物）,謀計網の碑,新島村本村長榮寺,1987/9/25
有形文化財（建造物）,物忌奈命神社本殿拝殿,神津島村,1970/1/10
有形文化財（建造物）,延命山涛響寺本堂,神津島村,1970/1/10
有形文化財（建造物）,庵屋霊場,神津島村,2002/10/1
有形文化財（建造物）,秩父霊場,神津島村,2002/10/1
有形文化財（建造物）,物忌奈命神社御神体,神津島村,2002/10/1
有形文化財（建造物）,物忌奈命神社薬王殿,神津島村,2002/10/1
史跡,流人墓地,新島村本村,1987/3/30
史跡,向畑刑場跡,新島村本村,1987/3/30
史跡,式根島のまいまいず井戸,新島村式根島,1987/3/30
史跡,里川の水源,新島村,1987/9/25
史跡,流人墓地,神津島村,1970/1/10
旧跡,新島測量基点,新島村本村,1987/9/25
旧跡,流人牢屋跡,新島村本村,1987/9/25
旧跡,薩摩畑,新島村,1987/9/25
旧跡,塩釜の跡,新島村式根島,1987/9/25
旧跡,丸山の方角石,新島村式根島,1987/9/25
