市町村／地区名,急傾斜地の崩壊／警戒区域,急傾斜地の崩壊／特別警戒区域,土石流／警戒区域,土石流／特別警戒区域,地すべり／警戒区域,地すべり／特別警戒区域,計／警戒区域,計／特別警戒区域
大島町／波浮港,23,21,4,4,,,27,25
大島町／差木地,85,82,16,14,,,101,96
大島町／野増,94,92,36,33,,,130,125
大島町／元町,83,70,19,13,,,102,83
大島町／岡田,46,42,6,4,,,52,46
大島町／泉津,113,113,24,24,,,137,137
大島町／計,444,420,105,92,,,549,512
利島村,89,76,1,0,,,90,76
利島村／計,89,76,1,0,,,90,76
新島村／本村,53,47,14,10,,,67,57
新島村／若郷,31,30,9,7,,,40,37
新島村／式根島,77,72,2,1,,,79,73
新島村／計,161,149,25,18,,,186,167
神津島村,255,203,41,30,2,,298,233
神津島村／計,255,203,41,30,2,,298,233
合計,949,848,172,140,2,,1123,988
