品目,単位,大島町,利島村,新島村,神津島村,計,平均単価（円）,生産金額（千円）
木炭,kg,6000,105,-,-,6105,320,1953
椿油,リットル,12800,15606,-,-,28406,4200,119305
町村別生産額,千円,55680,65578,-,-,-,-,121258
