森林資源構成,民有林面積（ha）,民有林蓄積（ｍ3）,立木林／総数面積（ha）,立木林／総数蓄積（ｍ3）,立木林／人工林面積（ha）,立木林／人工林蓄積（ｍ3）,立木林／天然林面積（ha）,立木林／天然林蓄積（ｍ3）,無立木地等面積（ha）,無立木地等蓄積（ｍ3）
大島町,4739.7,647259,4478.63,647259,440.49,124457,4038.14,522802,261.07,-
利島村,276.36,31621,276.36,31621,202.43,22365,73.93,9256,-,-
新島村,1784.85,283793,1684.08,283793,386.76,91370,1297.32,192423,100.77,-
神津島村,1415.64,226529,1388.26,226529,103.94,36638,1284.32,189891,27.38,-
管内計,8216.55,1189202,7827.33,1189202,1133.62,274830,6693.71,914372,-389.22,-
